parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.04956359198798774,0.18939291313497775,0.01661085732649518,0.01669860394304936,0.08242858003292611,130
alpha_neg,0.017705054065814577,0.11136658613037069,0.009767495744848859,-0.0016201754857883242,0.037030283617417475,130
phi,0.31571125373632886,0.2225513800480099,0.01951904725789535,0.2770923406862419,0.3543301667864158,130
rho,0.7275780402551985,0.26699051992157286,0.02341661765761686,0.6812476887119978,0.7739083917983991,130
capacity,3.2274206819955804,2.2262007980667136,0.19525072625321196,2.8411123381244883,3.6137290258666726,130
kappa,0.06915709798884513,0.09267834495208359,0.008128428565632805,0.053074802994501014,0.08523939298318925,130
v_scale,0.48153964204667893,0.08704018774577892,0.007633929466442481,0.4664357256310973,0.49664355846226055,130
A,0.19716027125223104,0.06537686802113953,0.005733930637511769,0.18581554905347072,0.20850499345099135,130
delta,0.07139460195973357,0.03981551944503371,0.0034920520622141776,0.06448549142912217,0.07830371249034497,130
t0,0.06926461055910571,0.03763534374430698,0.0033008380040321075,0.06273382172572267,0.07579539939248875,130
nll,399.8676698077172,201.18406206067934,17.645009498708188,,,130
aic,819.7353396154344,402.3681241213587,35.290018997416375,,,130
bic,864.5992552138057,403.09643748868575,35.353896305354645,,,130
