sona_id,age_years,gender,country,primary_language,education,relationship_status,living_arrangement
9187,34.0,Female,Australia,English,Post Graduate degree,Divorced,Living at home
10000,27.0,Male,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Renting
10001,48.0,Male,Australia,English,Post Graduate degree,Divorced,Renting
10002,26.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Renting
10003,61.0,Female,Australia,English,Highschool,Married or in a domestic partnership,Own a house
10004,26.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Renting
10005,24.0,Male,Australia,English,Post Graduate degree,Single,Renting
10006,43.0,Male,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Own a house
10007,63.0,Male,Australia,English,Post Graduate degree,Married or in a domestic partnership,Own a house
10012,48.0,Male,Australia,English,Post Graduate degree,Divorced,Renting
10016,28.0,Male,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Renting
10017,26.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Own a house
10018,25.0,Female,Austrtalia,English,Bachelors Degree or similar (TAFE),Single,Renting
10024,27.0,Male,Australia,English,Post Graduate degree,Married or in a domestic partnership,Own a house
10025,25.0,Female,Australia,Assyrian,Bachelors Degree or similar (TAFE),Single,Living at home
10027,25.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Single,Renting
10028,35.0,Male,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Renting
10029,27.0,Male,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Renting
10030,59.0,Female,Australia,English,Highschool,Married or in a domestic partnership,Own a house
10031,33.0,Male,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Own a house
10035,22.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Single,Living at home
10036,63.0,Female,Australia,English,Post Graduate degree,Married or in a domestic partnership,Own a house
10039,46.0,Male,Australia,English,Bachelors Degree or similar (TAFE),Single,Renting
10040,64.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Own a house
10041,26.0,Female,Australia,English,Post Graduate degree,Married or in a domestic partnership,Renting
10043,65.0,Female,Australia,english,Bachelors Degree or similar (TAFE),Single,Own a house
10044,65.0,Female,Australia,english,Bachelors Degree or similar (TAFE),Single,Own a house
10045,32.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Single,Own a house
10047,49.0,Female,Australia,English,Post Graduate degree,Single,Renting
10048,37.0,Male,Austraslia,English,Post Graduate degree,Single,Own a house
10049,53.0,Female,Australia,English ,Post Graduate degree,Married or in a domestic partnership,Own a house
10050,51.0,Female,Australia,English,Post Graduate degree,Married or in a domestic partnership,Renting
10051,58.0,Female,Australia,English,Highschool,Separated,Own a house
10052,33.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Own a house
10053,38.0,Female,Australia,English,Post Graduate degree,Married or in a domestic partnership,Living at home
10055,28.0,Female,usa,english,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Renting
10057,23.0,Male,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Renting
10058,50.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Divorced,Own a house
10059,22.0,Female,Australia,English,Post Graduate degree,Married or in a domestic partnership,Living at home
10062,39.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Renting
10063,47.0,Male,Australia,Farsi,Post Graduate degree,Married or in a domestic partnership,Own a house
10064,25.0,Female,Australia,English,Post Graduate degree,Married or in a domestic partnership,Renting
10065,29.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Single,Renting
10066,26.0,Male,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Own a house
10067,56.0,Male,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Own a house
10071,27.0,Female,Australia,English,Post Graduate degree,Married or in a domestic partnership,Own a house
10072,26.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Own a house
10073,26.0,Female,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Own a house
10074,57.0,Male,Australia,German,Post Graduate degree,Married or in a domestic partnership,Own a house
10075,23.0,Female,Australia,English,Post Graduate degree,Single,Living at home
10076,54.0,Female,Australia,German,Post Graduate degree,Married or in a domestic partnership,Own a house
10077,24.0,Female,Australia,English,Post Graduate degree,Married or in a domestic partnership,Renting
10078,24.0,Male,Australia,English,Bachelors Degree or similar (TAFE),Married or in a domestic partnership,Renting
