sona_id,age_years,country,primary_language,gender,education,relationship_status,living_arrangement,screen_time
10000,27.0,Australia,English,,,,,
9187,34.0,Australia,English,,,,,
10001,48.0,Australia,English,,,,,
10002,26.0,Australia,English,,,,,
10003,61.0,Australia,English,,,,,
10004,26.0,Australia,English,,,,,
10005,24.0,Australia,English,,,,,
10006,43.0,Australia,English,,,,,
10007,63.0,Australia,English,,,,,
10016,28.0,Australia,English,,,,,
10017,26.0,Australia,English,,,,,
10018,25.0,Austrtalia,English,,,,,
10024,27.0,Australia,English,,,,,
10025,25.0,Australia,Assyrian,,,,,
10027,25.0,Australia,English,,,,,
10028,35.0,Australia,English,,,,,
10029,27.0,Australia,English,,,,,
10030,59.0,Australia,English,,,,,
10031,33.0,Australia,English,,,,,
10035,22.0,Australia,English,,,,,
10036,63.0,Australia,English,,,,,
10038,46.0,Australia,English,,,,,
10039,46.0,Australia,English,,,,,
10041,26.0,Australia,English,,,,,
10043,65.0,Australia,english,,,,,
10047,49.0,Australia,English,,,,,
10048,37.0,Austraslia,English,,,,,
10050,51.0,Australia,English,,,,,
10051,58.0,Australia,English,,,,,
10052,33.0,Australia,English,,,,,
10053,38.0,Australia,English,,,,,
10055,28.0,usa,english,,,,,
10057,23.0,Australia,English,,,,,
10058,50.0,Australia,English,,,,,
10059,22.0,Australia,English,,,,,
10062,39.0,Australia,English,,,,,
10063,47.0,Australia,Farsi,,,,,
10064,25.0,Australia,English,,,,,
10065,29.0,Australia,English,,,,,
10066,26.0,Australia,English,,,,,
10067,56.0,Australia,English,,,,,
10071,27.0,Australia,English,,,,,
10072,26.0,Australia,English,,,,,
10074,57.0,Australia,German,,,,,
10075,23.0,Australia,English,,,,,
10076,54.0,Australia,German,,,,,
10077,24.0,Australia,English,,,,,
10078,24.0,Australia,English,,,,,
10079,33.0,Australia,English,,,,,
